title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publisher,publication_year,editions_by_work,work_ratings_count,author_ratings_count,publisher_ratings_count,cross_publisher_author_ratings_count,is_series,engagement,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2,lang_en-GB,lang_en-US,lang_eng,lang_fre,lang_ger,lang_others,lang_spa
The Stranger,Caroline B. Cooney,3.53,198,55,11,Scholastic Inc.,1993.0,1.0,55.0,59808,7968053,55,0,0.2,-1.965382,-3.1954498,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Ten Things I Hate about You,David Levithan,4.11,170,1435,65,Scholastic Inc.,1999.0,1.0,1435.0,79336,7968053,1435,0,0.04529616724738676,-1.8867003,-3.0684798,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Deep (Dive  #2),Gordon Korman,3.78,148,1436,55,Scholastic Inc.,2003.0,1.0,1436.0,40264,7968053,17143,1,0.0383008356545961,-1.2763035,-2.8243968,0.0,0.0,15.258761,1.2402688,0.0,0.0,0,0,1,0,0,0,0
The Stowaway Solution (On The Run  #4),Gordon Korman,4.11,160,2041,82,Scholastic Inc.,2005.0,1.0,2041.0,40264,7968053,17143,1,0.04017638412542871,-1.3440052,-2.6565926,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Fugitive Factor (On The Run  #2),Gordon Korman,4.13,160,2499,151,Scholastic Inc.,2005.0,1.0,2499.0,40264,7968053,17143,1,0.06042416966786715,-1.3192745,-2.681348,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Zucchini Warriors (Macdonald Hall  #5),Gordon Korman,4.01,208,1160,42,Scholastic Inc.,1991.0,1.0,1160.0,40264,7968053,17143,1,0.03620689655172414,-2.3138728,-2.7378087,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Street Magic (The Circle Opens  #2),Tamora Pierce,4.15,300,21070,286,Scholastic Inc.,2006.0,1.0,21070.0,578422,7968053,21070,1,0.013573801613668723,-0.8204793,-2.474833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Poppy,Avi,3.96,163,6894,501,Scholastic Inc.,2005.0,1.0,6894.0,14265,7968053,6894,0,0.07267188859878156,-1.7259437,-1.4572783,-24.466156,15.84626,-18.283535,7.579679,0.0,0.0,0,0,1,0,0,0,0
The Case of the Snowboarding Superstar (Jigsaw Jones  #29),James Preller,3.98,80,123,13,Scholastic Inc.,2006.0,1.0,123.0,1131,7968053,227,1,0.10569105691056911,-1.6859483,-2.7051835,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
The Case Of The Kidnapped Candy (Jigsaw Jones Mystery #30),James Preller,3.75,80,104,6,Scholastic Inc.,2007.0,1.0,104.0,1131,7968053,227,1,0.057692307692307696,-1.66683,-2.5989308,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Blind Flight,Hilary H. Milton,3.63,122,25,5,Scholastic Inc.,1982.0,1.0,25.0,35,7968053,25,0,0.2,-2.0024664,-2.4892251,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Savage Stone Age Sticker Book (Horrible Histories),Terry Deary,4.0,20,9,0,Scholastic Inc.,2005.0,1.0,9.0,14,7968053,9,0,0.0,-10.707752,-9.047857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Go Jump in the Pool! (Macdonald Hall  #2),Gordon Korman,4.16,192,1419,38,Scholastic Inc.,1991.0,1.0,1419.0,40264,7968053,17143,1,0.026779422128259338,-1.9227228,-2.347742,-23.95233,15.790801,-18.006792,7.290582,0.0,0.0,0,0,1,0,0,0,0
The Secret Garden,Frances Hodgson Burnett,4.13,298,254,24,Scholastic Inc.,1999.0,3.0,1346.0,1005911,7968053,254,0,0.09448818897637795,-2.0534256,-3.0247328,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Holes (Holes  #1),Louis Sachar,3.96,233,887554,17547,Scholastic Inc.,2000.0,2.0,890253.0,994114,7968053,887554,1,0.0197700646946552,-2.2682989,-2.7746131,-23.80605,15.862271,-24.734627,6.7965627,-15.872962,28.952425,0,0,1,0,0,0,0
Katie's Big Move (Junior Gymnasts  #2),Teddy Slater,3.75,77,12,0,Scholastic Inc.,1996.0,1.0,12.0,28842,7968053,12,1,0.0,-1.4829484,-2.1436791,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Ten Kids  No Pets,Ann M. Martin,3.91,174,88,11,Scholastic Inc.,1989.0,1.0,88.0,5805,7968053,88,0,0.125,-2.4881883,-2.5321155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19,1,Nimble Books,2005.0,1.0,19.0,23,19,19,0,0.05263157894736842,-8.508649,-7.9591336,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628,254,Gramercy Books,2005.0,3.0,256063.0,624177,538648,3628,1,0.07001102535832414,1.7170608,-3.4485419,-15.05283,12.952637,0.075081006,0.23988833,0.0,0.0,0,0,1,0,0,0,0
Treasure Island,Robert Louis Stevenson,3.83,272,56,4,Gramercy Books,2002.0,6.0,325391.0,348909,538648,56,0,0.07142857142857142,-1.322354,-2.7979934,-20.26444,17.561085,15.253032,1.244309,18.600979,0.7599087,0,1,0,0,0,0,0
Little Women,Louisa May Alcott,4.07,389,166,9,Gramercy Books,2002.0,5.0,1481833.0,1538891,538648,166,0,0.05421686746987952,-2.463224,-3.8376806,-23.756618,14.720755,9.240194,12.37396,1.3510785,27.301159,0,0,1,0,0,0,0
The Complete Novels,Jane Austen,4.55,1103,300,31,Gramercy Books,1995.0,5.0,23549.0,1046486,538648,567,0,0.10333333333333333,-2.6484816,-3.9442952,-23.606928,13.77693,26.68473,11.742897,23.38704,-6.0716853,0,0,1,0,0,0,0
Jane Austen: The Complete Novels,Jane Austen,4.55,1103,267,24,Gramercy Books,1994.0,5.0,23549.0,1046486,538648,567,0,0.0898876404494382,-2.6484816,-3.9442952,-23.606928,13.77693,26.68473,11.742897,23.38704,-6.0716853,0,0,1,0,0,0,0
The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33,334,2184,87,Gramercy Books,2001.0,1.0,2184.0,257175,538648,2184,0,0.03983516483516483,-2.2986734,-9.011732,-15.806752,15.472589,-18.321672,6.2856603,-18.311031,28.244528,0,0,1,0,0,0,0
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87,460,38915,1087,Gramercy Books,2004.0,2.0,40258.0,70007,538648,38915,0,0.027932673776178852,-9.989633,-4.609134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Alice in Wonderland,Lewis Carroll,4.03,92,364782,5234,Gramercy Books,2004.0,5.0,365289.0,755594,538648,364782,0,0.014348295694414747,-0.89230376,-1.9054241,-17.299158,16.05607,11.9373455,6.9912887,18.212978,0.97109705,0,0,1,0,0,0,0
The Complete Brothers Grimm Fairy Tales,Jacob Grimm,4.3,680,4420,165,Gramercy Books,2006.0,1.0,4420.0,8429,538648,4420,0,0.03733031674208145,-0.93497807,-1.7089062,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Just So Stories,Rudyard Kipling,4.09,210,39365,824,Gramercy Books,2003.0,1.0,39365.0,119394,538648,39365,0,0.02093230026673441,-1.3528155,-1.5072876,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Shell Seekers,Rosamunde Pilcher,4.15,530,84085,2230,Gramercy Books,2004.0,1.0,84085.0,84085,538648,84085,0,0.026520782541475888,-1.6488007,-5.7561026,0.0,0.0,2.6513257,14.341541,0.0,0.0,0,0,1,0,0,0,0
A Christmas Carol and The Night Before Christmas,Charles Dickens,4.35,156,91,15,Gramercy Books,2006.0,1.0,91.0,270320,538648,91,0,0.16483516483516483,-5.2148643,-2.8535295,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Three Complete Novels: Howards End  A Room with a View  Where Angels Fear to Tread,E.M. Forster,4.22,503,389,31,Gramercy Books,1993.0,1.0,389.0,266617,538648,389,0,0.07969151670951156,-3.1743474,-5.5657353,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558,4080,Del Rey Books,2002.0,3.0,256063.0,624177,407528,249558,1,0.016348904863799196,1.7170608,-3.4485419,-15.05283,12.952637,0.075081006,0.23988833,0.0,0.0,0,0,1,0,0,0,0
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,George Lucas,3.92,150,259,9,Del Rey Books,1999.0,1.0,259.0,4635,407528,259,0,0.03474903474903475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP,4.28,192,4059,50,Del Rey Books,2005.0,4.0,15762.0,70628,407528,4059,1,0.01231830500123183,-0.429199,-0.115515105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison,3.64,405,26,6,Del Rey Books,1977.0,1.0,26.0,3116,407528,26,1,0.23076923076923078,-5.456959,-9.890073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Throne of Jade (Temeraire  #2),Naomi Novik,3.89,398,30029,1818,Del Rey Books,2006.0,1.0,30029.0,92618,407528,30029,1,0.06054147657264644,-0.1117757,-3.0676477,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Labyrinth of Evil (Star Wars: The Dark Lord Trilogy  #1),James Luceno,3.84,370,5701,215,Del Rey Books,2005.0,1.0,5701.0,7684,407528,5701,1,0.03771268198561656,1.4915614,-2.9700453,0.0,0.0,0.0,0.0,-10.280248,18.028814,0,0,1,0,0,0,0
On a Pale Horse,Piers Anthony,4.13,325,156,13,Del Rey Books,1984.0,1.0,156.0,93428,407528,156,0,0.08333333333333333,0.2628145,-2.8800917,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Magic Kingdom for Sale—Sold! (Magic Kingdom of Landover #1),Terry Brooks,3.89,324,320,24,Del Rey Books,1986.0,1.0,320.0,133035,407528,17004,1,0.075,0.04209685,-2.7953699,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Tanequil (High Druid of Shannara  #2),Terry Brooks,3.98,357,10750,106,Del Rey Books,2005.0,1.0,10750.0,133035,407528,17004,1,0.00986046511627907,-1.2926906,-9.910804,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Heritage of Shannara (Heritage of Shannara  #1-4),Terry Brooks,4.29,1238,3613,42,Del Rey Books,2003.0,1.0,3613.0,133035,407528,17004,1,0.011624688624411846,-1.2906015,-9.908131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,3.97,564,1691,152,Del Rey Books,2000.0,1.0,1691.0,133035,407528,17004,1,0.0898876404494382,-1.293934,-9.919391,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Belgariad  Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad  #1-3),David Eddings,4.28,644,14418,385,Del Rey Books,2002.0,1.0,14418.0,62370,407528,39563,1,0.026702732695242058,0.2710104,-3.0542834,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Polgara the Sorceress,David Eddings,4.09,754,25145,291,Del Rey Books,1998.0,1.0,25145.0,62370,407528,39563,0,0.011572877311592763,0.094628304,-2.8903267,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Dragon's Fire (Pern  #19),Anne McCaffrey,3.98,366,7923,171,Del Rey Books,2006.0,1.0,7923.0,122880,407528,9011,1,0.02158273381294964,1.3419157,-3.0777385,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Maelstrom,Anne McCaffrey,3.88,237,1088,37,Del Rey Books,2007.0,1.0,1088.0,122880,407528,9011,0,0.03400735294117647,1.5772983,-3.7775052,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Triple Zero  (Star Wars: Republic Commando  #2),Karen Traviss,4.24,393,5130,163,Del Rey Books,2006.0,1.0,5130.0,5130,407528,5130,1,0.0317738791423002,-10.935852,-9.247736,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Running from the Deity (Pip & Flinx #11),Alan Dean Foster,3.81,280,1045,26,Del Rey Books,2006.0,1.0,1045.0,36917,407528,11971,1,0.024880382775119617,1.646284,-3.7036746,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Lost and Found,Alan Dean Foster,3.68,256,722,65,Del Rey Books,2005.0,1.0,722.0,36917,407528,11971,0,0.09002770083102493,1.6649883,-3.3833332,0.0,0.0,22.037794,-0.23027708,0.0,0.0,0,0,1,0,0,0,0
The Waterborn (Children of the Changeling  #1),Greg Keyes,3.81,384,76,5,Del Rey Books,1997.0,1.0,76.0,76,407528,76,1,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.25,184,21719,491,Del Rey Books,1991.0,1.0,21719.0,101136,407528,21719,0,0.022606934020903358,-0.39653125,-4.1537795,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Black Unicorn (Magic Kingdom of Landover #2),Terry Brooks,3.77,307,630,14,Del Rey Books,1988.0,1.0,630.0,133035,407528,17004,1,0.022222222222222223,-0.13370241,-2.749452,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Sliding Scales (Pip & Flinx #10),Alan Dean Foster,3.88,257,1167,28,Del Rey Books,2005.0,1.0,1167.0,36917,407528,11971,1,0.023993144815766924,1.7371714,-3.7407675,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Star Trek: Logs Seven and Eight (Star Trek: Log  #7-8),Alan Dean Foster,3.68,358,35,0,Del Rey Books,2006.0,3.0,128.0,36917,407528,11971,1,0.0,2.3298202,-2.8833818,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Star Trek: Logs One and Two (Star Trek: Log  #1-2),Alan Dean Foster,3.46,370,58,4,Del Rey Books,2006.0,3.0,128.0,36917,407528,11971,1,0.06896551724137931,2.3298202,-2.8833818,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Mid-Flinx (Pip & Flinx #7),Alan Dean Foster,3.94,352,2327,36,Del Rey Books,1996.0,1.0,2327.0,36917,407528,11971,1,0.015470562956596476,1.6939713,-3.757247,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
The Chronicles of Riddick,Alan Dean Foster,3.95,342,1389,47,Del Rey Books,2007.0,1.0,1389.0,36917,407528,11971,0,0.033837293016558675,-0.93324316,-6.7761993,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Star Wars: The Approaching Storm,Alan Dean Foster,3.51,344,3947,100,Del Rey Books,2002.0,1.0,3947.0,36917,407528,11971,0,0.02533569799847986,1.4797167,-2.9795806,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Star Trek: Logs Five and Six (Star Trek: Log  #5-6),Alan Dean Foster,3.65,388,35,0,Del Rey Books,2006.0,3.0,128.0,36917,407528,11971,1,0.0,2.3298202,-2.8833818,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Phylogenesis (Founding of the Commonwealth  #1),Alan Dean Foster,3.82,304,1246,21,Del Rey Books,2000.0,1.0,1246.0,36917,407528,11971,1,0.016853932584269662,1.732469,-3.669833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Swarm War (Star Wars: Dark Nest  #3),Troy Denning,3.49,357,3852,55,Del Rey Books,2005.0,1.0,3852.0,17296,407528,3852,1,0.014278296988577362,1.3975749,-3.1199331,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Sunstorm (A Time Odyssey  #2),Arthur C. Clarke,3.83,356,4049,154,Del Rey Books,2006.0,1.0,4049.0,8316,407528,4049,1,0.03803408248950358,1.4057436,-3.5998485,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Adversary (Saga of Pliocene Exile  #4),Julian May,4.22,472,4404,54,Del Rey Books,1987.0,1.0,4404.0,10243,407528,4743,1,0.01226158038147139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Sagittarius Whorl (Rampart Worlds #3),Julian May,3.75,384,339,4,Del Rey Books,2001.0,1.0,339.0,10243,407528,4743,1,0.011799410029498525,2.551562,-4.097499,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930,460,Crown,2004.0,6.0,12613.0,624177,504288,4930,1,0.09330628803245436,1.7138647,-3.492058,-15.052987,12.951765,0.06867109,0.23057362,0.0,0.0,0,0,1,0,0,0,0
The Metamorphosis,Peter Kuper,3.79,78,181,26,Crown,2003.0,2.0,3373.0,3373,504288,181,0,0.143646408839779,-0.32161096,0.3419875,13.773205,-9.755186,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
World War Z: An Oral History of the Zombie War,Max Brooks,4.01,342,370331,20582,Crown,2006.0,1.0,370331.0,370331,504288,370331,0,0.05557730786782635,-0.410752,-4.5057597,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.75,375,127324,4496,Crown,2006.0,1.0,127324.0,128549,504288,128549,0,0.03531148880022619,-6.5440106,-5.3905597,-23.226938,14.559716,-24.091053,6.1908965,-4.406403,17.915094,0,0,1,0,0,0,0
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.88,442,1225,181,Crown,2007.0,1.0,1225.0,128549,504288,128549,0,0.14775510204081632,-5.5448194,-4.8827224,-23.183107,14.471764,-2.0758665,3.8704789,0.0,0.0,0,1,0,0,0,0,0
The Little Baby Snoogle-Fleejer,Jimmy Carter,3.17,24,42,11,Crown,1995.0,1.0,42.0,9221,504288,42,0,0.2619047619047619,-2.0276363,-3.2039864,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Unpublished David Ogilvy,David Ogilvy,4.16,178,255,19,Crown,1987.0,1.0,255.0,255,504288,255,0,0.07450980392156863,-10.39184,-6.473948,-21.5402,14.657396,-25.055681,6.3746576,0.0,0.0,0,0,1,0,0,0,0
