,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
48,3873,A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87,0517223120,9780517223123,eng,460,38915,1087,2004-03-02,Gramercy Books
49,13023,Alice in Wonderland,Lewis Carroll,4.03,0517223627,9780517223628,eng,92,364782,5234,2004-09-07,Gramercy Books
50,22915,The Complete Brothers Grimm Fairy Tales,Jacob Grimm,4.3,0517229250,9780517229255,en-US,680,4420,165,2006-10-03,Gramercy Books
51,34053,Just So Stories,Rudyard Kipling,4.09,0517266555,9780517266557,eng,210,39365,824,2003-08-05,Gramercy Books
52,37095,The Shell Seekers,Rosamunde Pilcher,4.15,051722285X,9780517222850,eng,530,84085,2230,2004-04-06,Gramercy Books
53,37716,A Christmas Carol and The Night Before Christmas,Charles Dickens,4.35,0517229277,9780517229279,eng,156,91,15,2006-10-03,Gramercy Books
54,44982,Three Complete Novels: Howards End  A Room with a View  Where Angels Fear to Tread,E.M. Forster,4.22,0517091267,9780517091265,eng,503,389,31,1993-02-20,Gramercy Books
55,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,2002-04-30,Del Rey Books
56,4767,Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,George Lucas,3.92,0345431103,9780345431103,eng,150,259,9,1999-04-21,Del Rey Books
57,13577,Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP,4.28,034547791X,9780345477910,eng,192,4059,50,2005-01-25,Del Rey Books
58,13625,Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison,3.64,034527220X,9780345272201,eng,405,26,6,1977-12-12,Del Rey Books
59,14069,Throne of Jade (Temeraire  #2),Naomi Novik,3.89,0345481291,9780345481290,eng,398,30029,1818,2006-04-25,Del Rey Books
60,14978,Labyrinth of Evil (Star Wars: The Dark Lord Trilogy  #1),James Luceno,3.84,0345475739,9780345475732,eng,370,5701,215,2005-09-27,Del Rey Books
61,15448,On a Pale Horse,Piers Anthony,4.13,0345305183,9780345305183,eng,325,156,13,1984-09-12,Del Rey Books
62,15546,Magic Kingdom for Sale—Sold! (Magic Kingdom of Landover #1),Terry Brooks,3.89,0345317572,9780345317575,eng,324,320,24,1986-03-12,Del Rey Books
63,15552,Tanequil (High Druid of Shannara  #2),Terry Brooks,3.98,034543577X,9780345435774,eng,357,10750,106,2005-08-30,Del Rey Books
64,15555,The Heritage of Shannara (Heritage of Shannara  #1-4),Terry Brooks,4.29,0345465547,9780345465542,eng,1238,3613,42,2003-08-26,Del Rey Books
65,15578,The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,3.97,0345285549,9780345285546,eng,564,1691,152,2000-10-10,Del Rey Books
66,18878,The Belgariad  Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad  #1-3),David Eddings,4.28,0345456327,9780345456328,eng,644,14418,385,2002-08-27,Del Rey Books
67,18884,Polgara the Sorceress,David Eddings,4.09,0345422554,9780345422552,eng,754,25145,291,1998-12-26,Del Rey Books
68,20075,Dragon's Fire (Pern  #19),Anne McCaffrey,3.98,0345480287,9780345480286,eng,366,7923,171,2006-08-01,Del Rey Books
69,20076,Maelstrom,Anne McCaffrey,3.88,0345470044,9780345470041,eng,237,1088,37,2007-01-31,Del Rey Books
70,22201,Triple Zero  (Star Wars: Republic Commando  #2),Karen Traviss,4.24,0345490096,9780345490094,eng,393,5130,163,2006-02-28,Del Rey Books
71,23391,Running from the Deity (Pip & Flinx #11),Alan Dean Foster,3.81,0345461614,9780345461612,eng,280,1045,26,2006-11-28,Del Rey Books
72,23392,Lost and Found,Alan Dean Foster,3.68,0345461274,9780345461278,eng,256,722,65,2005-05-31,Del Rey Books
73,28808,The Waterborn (Children of the Changeling  #1),Greg Keyes,3.81,0345396707,9780345396709,en-US,384,76,5,1997-03-02,Del Rey Books
74,32769,At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.25,0345329457,9780345329455,eng,184,21719,491,1991-09-13,Del Rey Books
75,34921,The Black Unicorn (Magic Kingdom of Landover #2),Terry Brooks,3.77,0345335287,9780345335289,eng,307,630,14,1988-08-12,Del Rey Books
76,35115,Sliding Scales (Pip & Flinx #10),Alan Dean Foster,3.88,0345461584,9780345461582,eng,257,1167,28,2005-09-27,Del Rey Books
77,35116,Star Trek: Logs Seven and Eight (Star Trek: Log  #7-8),Alan Dean Foster,3.68,0345495845,9780345495846,eng,358,35,0,2006-09-05,Del Rey Books
78,35120,Star Trek: Logs One and Two (Star Trek: Log  #1-2),Alan Dean Foster,3.46,0345495810,9780345495815,eng,370,58,4,2006-09-05,Del Rey Books
79,35124,Mid-Flinx (Pip & Flinx #7),Alan Dean Foster,3.94,0345406443,9780345406446,en-US,352,2327,36,1996-09-01,Del Rey Books
80,35126,The Chronicles of Riddick,Alan Dean Foster,3.95,0345468392,9780345468390,en-US,342,1389,47,2007-12-18,Del Rey Books
81,35149,Star Wars: The Approaching Storm,Alan Dean Foster,3.51,0345443004,9780345443007,eng,344,3947,100,2002-12-01,Del Rey Books
82,35163,Star Trek: Logs Five and Six (Star Trek: Log  #5-6),Alan Dean Foster,3.65,0345495837,9780345495839,eng,388,35,0,2006-09-05,Del Rey Books
83,35183,Phylogenesis (Founding of the Commonwealth  #1),Alan Dean Foster,3.82,0345418611,9780345418616,eng,304,1246,21,2000-07-05,Del Rey Books
84,35412,The Swarm War (Star Wars: Dark Nest  #3),Troy Denning,3.49,0345463056,9780345463050,eng,357,3852,55,2005-12-27,Del Rey Books
85,35815,Sunstorm (A Time Odyssey  #2),Arthur C. Clarke,3.83,0345452518,9780345452511,eng,356,4049,154,2006-02-28,Del Rey Books
86,41334,The Adversary (Saga of Pliocene Exile  #4),Julian May,4.22,0345352440,9780345352446,eng,472,4404,54,1987-09-12,Del Rey Books
87,41336,The Sagittarius Whorl (Rampart Worlds #3),Julian May,3.75,0345395182,9780345395184,eng,384,339,4,2001-01-02,Del Rey Books
88,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,2004-08-03,Crown
89,7717,The Metamorphosis,Peter Kuper,3.79,1400047951,9781400047956,eng,78,181,26,2003-08-05,Crown
90,8908,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,0307346609,9780307346605,eng,342,370331,20582,2006-09-12,Crown
91,9742,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.75,0307237699,9780307237699,eng,375,127324,4496,2006-10-17,Crown
92,10382,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.88,0307383415,9780307383419,en-US,442,1225,181,2007-01-09,Crown
93,25457,The Little Baby Snoogle-Fleejer,Jimmy Carter,3.17,0812927311,9780812927313,eng,24,42,11,1995-11-21,Crown
94,44898,The Unpublished David Ogilvy,David Ogilvy,4.16,0517566095,9780517566091,eng,178,255,19,1987-10-21,Crown
95,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1996-01-17,Wings Books
96,7664,A New Collection of Three Complete Novels: Congo / Sphere / Eaters of the Dead,Michael Crichton,3.99,0517101351,9780517101353,eng,720,960,27,1994-03-06,Wings Books
97,9605,Cat's Cradle/God Bless You Mr. Rosewater/Breakfast of Champions,Kurt Vonnegut Jr.,4.36,051712436X,9780517124369,eng,527,914,8,1995-05-28,Wings Books
98,21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,2004-09-14,Broadway Books
99,22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,2002-12-03,Broadway Books
100,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,2004-09-14,Broadway Books
101,24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,2001-05-15,Broadway Books
102,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,2000-06-28,Broadway Books
103,969,The Da Vinci Code,Dan Brown,3.84,076792603X,9780767926034,eng,467,1120,105,2006-03-28,Broadway Books
104,1059,Shibumi,Trevanian,4.21,1400098033,9781400098033,eng,480,9498,637,2005-05-10,Broadway Books
105,2127,The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann,4.23,1400051576,9781400051571,en-US,400,1392,136,2004-04-27,Broadway Books
106,2521,Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,1400083117,9781400083114,eng,368,2594,403,2005-05-03,Broadway Books
107,3444,Northern Lights,Tim O'Brien,3.29,0767904419,9780767904414,eng,372,981,69,1999-09-01,Broadway Books
108,3445,If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,3.95,0767904435,9780767904438,eng,225,7763,362,1999-09-01,Broadway Books
109,3536,Love @ First Site,Jane Moore,3.41,0767916913,9780767916912,en-US,368,910,74,2006-05-09,Broadway Books
110,3858,Holy Cow: An Indian Adventure,Sarah Macdonald,3.53,0767915747,9780767915748,eng,304,15315,1101,2004-04-13,Broadway Books
111,5319,A Christmas Story,Jean Shepherd,4.08,0767916220,9780767916226,eng,144,3187,381,2003-10-28,Broadway Books
112,7208,Under The Tuscan Sun - At Home In Italy,Frances Mayes,3.75,0767902807,9780767902809,en-US,291,1036,171,1998-08-10,Broadway Books
113,7718,The Metamorphosis (Graphic Novel Adaptation),Peter Kuper,3.79,1400052998,9781400052998,eng,80,3192,307,2004-07-20,Broadway Books
114,9073,See No Evil: The True Story of a Ground Soldier in the CIA's War on Terrorism,Robert B. Baer,3.93,140004684X,9781400046843,eng,320,4040,259,2003-01-07,Broadway Books
115,9789,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,0767902521,9780767902526,eng,284,4315,532,1999-05-04,Broadway Books
116,10050,Youth in Revolt: The Journals of Nick Twisp,C.D. Payne,4.02,0385481969,9780385481960,eng,512,8257,793,2001-01-01,Broadway Books
117,11077,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost,3.87,0767915305,9780767915304,eng,272,19422,2077,2004-06-08,Broadway Books
118,16007,Last Train to Paradise: Henry Flagler and the Spectacular Rise and Fall of the Railroad that Crossed an Ocean,Les Standiford,4.03,1400049474,9781400049479,eng,288,1776,282,2003-08-05,Broadway Books
119,18957,The Corner: A Year in the Life of an Inner-City Neighborhood,David Simon,4.43,0767900316,9780767900317,eng,576,4404,434,1998-06-15,Broadway Books
120,22198,The Hunt for Zero Point: Inside the Classified World of Antigravity Technology,Nick Cook,4.12,0767906284,9780767906289,en-US,320,323,37,2007-12-18,Broadway Books
121,22239,For the Sins of My Father: A Mafia Killer  His Son  and the Legacy of a Mob Life,Albert Demeo,4.05,0767906896,9780767906890,eng,288,966,108,2003-09-09,Broadway Books
122,22649,Bookends,Jane Green,3.72,0767907817,9780767907811,eng,368,37153,822,2003-05-27,Broadway Books
123,23503,The Alchemist's Daughter,Katharine McMahon,3.25,0307335852,9780307335852,eng,346,3565,451,2006-10-24,Broadway Books
124,23526,Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology  Specially Arranged for Children Five and Up by an Educational Expert,William F. Russell,4.12,0517588374,9780517588376,eng,272,249,44,1992-04-28,Broadway Books
125,24674,Isolde  Queen of the Western Isle (Tristan and Isolde  #1),Rosalind Miles,3.64,1400047862,9781400047864,eng,360,2260,151,2003-06-24,Broadway Books
126,25652,The Best Recipes in the World: More Than 1 000 International Dishes to Cook at Home,Mark Bittman,3.98,0767906721,9780767906722,eng,757,1813,40,2005-10-11,Broadway Books
127,25653,The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time,Mark Bittman,3.9,0767909267,9780767909266,eng,240,261,20,2002-09-10,Broadway Books
128,25812,The Ruby Ring,Diane Haeger,3.7,1400051738,9781400051731,eng,371,1070,70,2005-04-05,Broadway Books
129,29519,Conspiracy of Fools,Kurt Eichenwald,4.23,0767911792,9780767911795,eng,784,4511,309,2005-12-27,Broadway Books
130,30681,Thumbsucker,Walter Kirn,3.44,0385497091,9780385497091,eng,300,1203,111,1999-10-19,Broadway Books
131,30889,The Crazyladies of Pearl Street,Trevanian,3.77,1400080371,9781400080373,eng,384,1063,157,2006-06-06,Broadway Books
132,30891,The Summer of Katya,Trevanian,3.99,1400098041,9781400098040,eng,288,2257,116,2005-06-28,Broadway Books
133,30892,The Main,Trevanian,3.86,1400098238,9781400098231,eng,352,920,32,2005-07-26,Broadway Books
134,30893,The Eiger Sanction (Jonathan Hemlock  #1),Trevanian,4.06,1400098025,9781400098026,eng,336,10385,152,2005-05-10,Broadway Books
135,31087,The Last Boleyn,Karen Harper,4.05,0307237907,9780307237903,eng,592,9097,205,2006-02-28,Broadway Books
136,31099,Babyville,Jane Green,3.62,0767912241,9780767912242,en-US,464,30815,544,2004-03-23,Broadway Books
137,31100,To Have and to Hold,Jane Green,3.63,0767912276,9780767912273,eng,352,22864,445,2005-03-01,Broadway Books
138,31101,Mr. Maybe,Jane Green,3.45,0767905202,9780767905206,eng,368,87217,832,2002-06-11,Broadway Books
139,31441,Angry Black White Boy,Adam Mansbach,3.55,1400054877,9781400054879,eng,352,614,77,2005-03-08,Broadway Books
140,37083,Going on Being: Buddhism and the Way of Change,Mark Epstein,3.99,0767904613,9780767904612,eng,240,576,48,2002-02-12,Broadway Books
141,39872,Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal,3.92,1400080460,9781400080465,eng,240,5067,897,2005-12-06,Broadway Books
142,39993,The Full Matilda,David Haynes,4.0,0767915690,9780767915694,eng,384,46,5,2004-05-11,Broadway Books
143,42882,The Life and Times of the Thunderbolt Kid: A Memoir,Bill Bryson,3.94,0767919378,9780767919371,en-US,268,1329,250,2007-09-25,Broadway Books
144,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks
145,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks
146,28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks
147,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks
148,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,2005-05-03,William Morrow Paperbacks
149,642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto,3.72,0688060692,9780688060695,en-GB,408,286,10,1990-11-19,William Morrow Paperbacks
150,822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,0060733357,9780060733353,en-US,815,19320,565,2005-06-14,William Morrow Paperbacks
151,826,The Big U,Neal Stephenson,3.25,0380816032,9780380816033,en-US,308,4657,223,2001-02-06,William Morrow Paperbacks
152,1243,A Million Little Lies,James Pinocchio,3.41,0061171468,9780061171468,en-US,191,201,24,2006-03-28,William Morrow Paperbacks
153,2126,The 3-Hour Diet: On the Go,Jorge Cruise,3.1,0060793198,9780060793197,en-US,192,31,2,2005-10-18,William Morrow Paperbacks
154,6366,My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,0061134236,9780061134234,eng,336,1226,120,2006-08-29,William Morrow Paperbacks
155,7742,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,0060838744,9780060838744,eng,704,40049,2391,2005-08-02,William Morrow Paperbacks
156,8745,Desert Flower,Waris Dirie,4.15,0688172377,9780688172374,eng,240,11981,735,2011-03-15,William Morrow Paperbacks
157,8915,A Short History of World War II,James L. Stokesbury,3.95,0688085873,9780688085872,eng,416,472,41,1980-01-01,William Morrow Paperbacks
158,9144,NYC Ballet Workout,Peter Martins,4.01,0688152023,9780688152024,eng,208,238,10,1997-01-13,William Morrow Paperbacks
159,9301,Rachel's Holiday (Walsh Family  #2),Marian Keyes,3.95,0060090383,9780060090388,eng,578,55525,1223,2007-01-23,William Morrow Paperbacks
160,9303,Lucy Sullivan Is Getting Married,Marian Keyes,3.77,0060090375,9780060090371,en-US,640,43077,690,2007-01-23,William Morrow Paperbacks
161,9304,Essays and Stories by Marian Keyes: Bags  Trips  Make-up Tips  Charity  Glory  and the Darker Side of the Story,Marian Keyes,3.82,0060787031,9780060787035,eng,368,1625,42,2005-09-06,William Morrow Paperbacks
162,9619,Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,4.41,0060544880,9780060544881,eng,912,5161,184,2005-04-05,William Morrow Paperbacks
163,9638,The Cat's Pajamas,Ray Bradbury,3.73,0060777338,9780060777333,eng,234,1370,122,2005-07-26,William Morrow Paperbacks
164,10750,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.53,0060745908,9780060745905,en-US,409,2828,459,2004-03-02,William Morrow Paperbacks
165,13521,Son of a Witch (The Wicked Years  #2),Gregory Maguire,3.47,0060747226,9780060747220,eng,352,52323,3023,2006-09-26,William Morrow Paperbacks
166,14497,Neverwhere (London Below  #1),Neil Gaiman,4.17,0060557818,9780060557812,eng,370,345122,15199,2003-09-02,William Morrow Paperbacks
167,15100,Sleep  Pale Sister,Joanne Harris,3.28,0060787112,9780060787110,en-US,396,2963,232,2005-08-30,William Morrow Paperbacks
168,15101,Blackberry Wine,Joanne Harris,3.8,0380815923,9780380815920,eng,368,10721,617,2003-12-23,William Morrow Paperbacks
169,15655,The Kindness of Strangers,Katrina Kittle,4.02,0060564784,9780060564780,en-US,400,11669,1418,2007-01-02,William Morrow Paperbacks
170,16887,How to Write: Advice and Reflections,Richard Rhodes,3.87,0688149480,9780688149482,eng,240,162,19,1996-10-16,William Morrow Paperbacks
171,17061,Coraline,Neil Gaiman,4.06,0061139378,9780061139376,eng,162,403622,13096,2006-08-29,William Morrow Paperbacks
172,17639,The Guardship (Thomas Marlowe  #1),James L. Nelson,4.01,0380804522,9780380804528,eng,384,313,28,2000-01-05,William Morrow Paperbacks
173,18937,In the Beginning...Was the Command Line,Neal Stephenson,3.8,0380815931,9780380815937,en-US,151,6638,329,1999-11-09,William Morrow Paperbacks
174,18943,Confessions of an Ugly Stepsister,Gregory Maguire,3.53,0060987529,9780060987527,en-US,372,53782,3344,2000-10-03,William Morrow Paperbacks
175,19295,Ten Days to Self-Esteem,David D. Burns,3.96,0688094554,9780688094553,eng,336,436,19,1999-03-17,William Morrow Paperbacks
176,21671,Mystic River,Dennis Lehane,4.18,0060584750,9780060584757,eng,416,109447,2859,2001-02-01,William Morrow Paperbacks
177,21723,Like A Charm,Karin Slaughter,3.48,0060583312,9780060583316,en-US,384,22,4,2015-05-26,William Morrow Paperbacks
178,23217,Size 14 Is Not Fat Either (Heather Wells  #2),Meg Cabot,3.83,0060525126,9780060525125,eng,344,27424,1038,2006-11-28,William Morrow Paperbacks
179,23220,Size 12 Is Not Fat (Heather Wells  #1),Meg Cabot,3.74,0060525118,9780060525118,eng,345,75856,2408,2005-12-27,William Morrow Paperbacks
180,23700,The Mermaids Singing,Lisa Carey,3.77,0380815591,9780380815593,en-US,288,1859,231,2001-11-06,William Morrow Paperbacks
181,24929,Lost,Gregory Maguire,2.82,0060988649,9780060988647,eng,340,13152,904,2002-09-17,William Morrow Paperbacks
182,26184,African Nights,Kuki Gallmann,3.8,0060954833,9780060954833,eng,336,313,19,2000-03-22,William Morrow Paperbacks
183,29248,Kevin Trudeau's Mega Memory: How to Release Your Superpower Memory in 30 Minutes Or Less a Day,Kevin Trudeau,3.54,0688153879,9780688153878,eng,368,128,15,2005-08-16,William Morrow Paperbacks
184,31222,The Purpose of Your Life: Finding Your Place In The World Using Synchronicity  Intuition  And Uncommon Sense,Carol Adrienne,3.76,0688166253,9780688166250,eng,320,218,27,1999-03-17,William Morrow Paperbacks
